fecha,ticker_yahoo,empresa,sector,precio_cierre,precio_anterior,precio_max,precio_min,volumen,var_pct_diaria
2026-03-12,^IBEX,IBEX 35,Índice de Mercado,17139.9004,17351.9004,17328.5996,16987.3008,107858866,-1.22176819
2026-03-12,^VIX,VIX (Índice Volatilidad),Índice de Mercado,26.07,24.23,27.22,24.6,0,7.59389187
2026-03-12,ACS.MC,ACS,Construcción,105.3,107.1,108.1,103.9,439247,-1.68067227
2026-03-12,ACX.MC,Acerinox,"Mineral, Metales Y Transformación",12.12,12.38,12.42,11.97,915924,-2.10016155
2026-03-12,AENA.MC,Aena,Transporte Y Distribución,25.53,25.7,25.87,25.51,1730757,-0.6614786
2026-03-12,AMS.MC,Amadeus IT Group,Electrónica Y Software,52.98,53.88,54.24,52.9,1338188,-1.67037862
2026-03-12,ANA.MC,Acciona,Construcción,215.8,218.2,218.4,212.8,75941,-1.09990834
2026-03-12,ANE.MC,Acciona Energía,Energías Renovables,20.7,20.58,20.8,20.26,182594,0.58309038
2026-03-12,BBVA.MC,BBVA,Bancos Y Cajas De Ahorro,18.185,18.85,18.76,17.825,15175737,-3.52785146
2026-03-12,BKT.MC,Bankinter,Bancos Y Cajas De Ahorro,13.215,13.705,13.7,12.95,2114369,-3.57533747
2026-03-12,CABK.MC,CaixaBank,Bancos Y Cajas De Ahorro,9.876,10.24,10.25,9.794,14323658,-3.5546875
2026-03-12,CLNX.MC,Cellnex Telecom,Telecomunicaciones Y Otros,28.77,29.25,29.32,28.11,1363174,-1.64102564
2026-03-12,COL.MC,Inmobiliaria Colonial,Socimi,5.17,5.16,5.215,5.125,1766685,0.19379845
2026-03-12,ELE.MC,Endesa,Electricidad Y Gas,34.76,34.16,34.84,34.12,1482714,1.75644028
2026-03-12,ENG.MC,Enagás,Electricidad Y Gas,14.805,14.615,14.845,14.49,903002,1.30003421
2026-03-12,FDR.MC,Fluidra,Ingeniería Y Otros,20.52,20.52,20.76,20.32,280723,0.0
2026-03-12,FER.MC,Ferrovial,Construcción,55.94,56.78,56.9,55.44,748403,-1.47939415
2026-03-12,GC=F,Oro (Gold Futures),Materia Prima,5127.6001,5167.3999,5197.7998,5114.6001,111100,-0.7702094
2026-03-12,GRF.MC,Grifols,Productos Farmacéuticos Y Biotecnología,9.28,9.476,9.474,9.236,2530441,-2.06838328
2026-03-12,IAG.MC,International Airlines Group,Transporte Y Distribución,4.189,4.337,4.305,4.165,10236185,-3.41249712
2026-03-12,IBE.MC,Iberdrola,Electricidad Y Gas,19.54,19.21,19.58,19.115,8250179,1.71785528
2026-03-12,IDR.MC,Indra,Electrónica Y Software,59.95,61.05,61.95,59.85,918529,-1.8018018
2026-03-12,ITX.MC,Inditex,"Textil, Vestido Y Calzado",52.58,52.74,53.16,51.88,3252193,-0.30337505
2026-03-12,LOG.MC,Logista,Transporte Y Distribución,30.58,30.32,30.58,30.18,374763,0.85751979
2026-03-12,MAP.MC,MAPFRE,Seguros,3.666,3.692,3.684,3.624,3286483,-0.70422535
2026-03-12,MEL.MC,Meliá Hotels International,"Ocio, Turismo Y Hostelería",8.7,8.42,8.83,8.35,1242709,3.32541568
2026-03-12,MRL.MC,Merlin Properties,Socimi,13.63,13.7,13.68,13.28,1449137,-0.51094891
2026-03-12,MTS.MC,ArcelorMittal,"Mineral, Metales Y Transformación",46.74,48.74,48.4,45.27,305284,-4.10340583
2026-03-12,NTGY.MC,Naturgy,Electricidad Y Gas,25.06,24.88,25.14,24.78,1735077,0.72347267
2026-03-12,RED.MC,Redeia,Electricidad Y Gas,14.82,14.77,14.88,14.63,1158345,0.33852404
2026-03-12,REP.MC,Repsol,Petróleo,22.27,21.7,22.37,21.63,6941384,2.62672811
2026-03-12,ROVI.MC,Laboratorios Rovi,Productos Farmacéuticos Y Biotecnología,80.0,79.85,80.1,79.15,160854,0.18785222
2026-03-12,SAB.MC,Banco Sabadell,Bancos Y Cajas De Ahorro,3.038,3.17,3.152,3.001,23640740,-4.16403785
2026-03-12,SAN.MC,Santander,Bancos Y Cajas De Ahorro,9.647,9.853,9.804,9.48,30309459,-2.09073379
2026-03-12,SCYR.MC,Sacyr,Construcción,4.18,4.2,4.2,4.112,1793753,-0.47619048
2026-03-12,SLR.MC,Solaria,Energías Renovables,20.53,20.62,20.72,20.07,711520,-0.43646945
2026-03-12,TEF.MC,Telefónica,Telecomunicaciones Y Otros,3.549,3.514,3.55,3.475,10191128,0.99601594
2026-03-12,UNI.MC,Unicaja,Bancos Y Cajas De Ahorro,2.468,2.586,2.58,2.452,11892331,-4.56303171
